Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
China,2008,Sharable tertiary superstructure,Manned,Sheilatown,Communication,16.2,90,Nuclear Propulsion,Medium,"France, UK, Russia",112
Japan,2018,Re-engineered composite flexibility,Manned,New Ericfurt,Communication,29.04,99,Solar Propulsion,High,"Germany, Israel",236
Israel,2013,Reactive disintermediate projection,Manned,Port Kaitlynstad,Communication,28.73,54,AI Navigation,Medium,"China, Israel, USA",238
UAE,2010,Grass-roots 6thgeneration implementation,Unmanned,Mariastad,Spy,37.27,58,Traditional Rocket,Low,USA,186
India,2006,Balanced discrete orchestration,Manned,North Jasonborough,Weather,18.95,91,Solar Propulsion,Medium,"Israel, China, India",277
USA,2011,Down-sized holistic methodology,Unmanned,North Kevin,Research,22.76,85,Nuclear Propulsion,Low,France,166
Germany,2011,Adaptive coherent definition,Manned,Wilsonburgh,Spy,9.33,81,Solar Propulsion,High,"Japan, Russia, India",203
India,2012,Innovative 6thgeneration algorithm,Unmanned,South William,Weather,6.62,69,Solar Propulsion,Low,"India, UK, China",25
Israel,2024,Business-focused exuding contingency,Manned,Edwardstad,Navigation,13.25,60,Solar Propulsion,Low,"France, China",341
Israel,2011,Cross-group incremental function,Unmanned,Port Carla,Communication,23.76,66,Reusable Rocket,High,Japan,107
France,2014,Reactive heuristic pricing structure,Unmanned,South Sarahton,Research,43.67,92,AI Navigation,Medium,"India, China",117
UK,2007,Innovative client-server matrix,Manned,Marcusborough,Spy,42.47,53,Solar Propulsion,Low,USA,56
Russia,2023,Up-sized bifurcated conglomeration,Unmanned,North Shannon,Communication,11.68,65,Traditional Rocket,High,Germany,219
China,2024,Public-key disintermediate matrix,Manned,Kathrynmouth,Research,29.52,73,Traditional Rocket,Low,"Israel, USA, Germany",303
UAE,2002,Vision-oriented fresh-thinking pricing structure,Manned,Whiteside,Spy,37.86,90,Solar Propulsion,Low,Germany,246
India,2020,Enterprise-wide heuristic knowledge user,Unmanned,Rodriguezshire,Communication,25.79,61,Reusable Rocket,Low,"Israel, France",208
Russia,2017,Innovative zero tolerance workforce,Unmanned,West Katherineville,Spy,21.53,71,Reusable Rocket,Medium,"Germany, India",360
USA,2013,Digitized intangible encryption,Manned,New Cassandraside,Navigation,4.22,73,Nuclear Propulsion,Medium,"Japan, USA",155
Germany,2019,Organic tertiary access,Manned,Lamville,Spy,47.41,75,Traditional Rocket,Low,USA,32
India,2020,Phased context-sensitive intranet,Unmanned,Popehaven,Research,35.59,50,Solar Propulsion,High,"Israel, Germany, USA",73
Russia,2003,Persevering holistic open architecture,Manned,Barbarahaven,Weather,32.21,95,Traditional Rocket,High,UK,147
China,2008,Exclusive actuating conglomeration,Manned,Zacharyberg,Research,27.87,57,AI Navigation,High,"UAE, Japan",29
USA,2020,Cross-group bandwidth-monitored help-desk,Unmanned,Maldonadofort,Weather,47.06,68,Nuclear Propulsion,Low,"India, Russia",241
UK,2015,Quality-focused discrete implementation,Unmanned,North Alexanderview,Weather,38.83,50,AI Navigation,Medium,"India, USA, Russia",191
Japan,2022,De-engineered mission-critical time-frame,Manned,Dunnfort,Spy,48.25,68,Nuclear Propulsion,Medium,USA,15
India,2004,Exclusive object-oriented adapter,Unmanned,Lake Susan,Research,6.38,73,AI Navigation,Low,UAE,169
Japan,2025,Streamlined 4thgeneration middleware,Manned,New Kelly,Spy,27.01,85,Traditional Rocket,Medium,"France, Israel, Japan",81
Germany,2017,Versatile 4thgeneration Local Area Network,Manned,Woodburgh,Spy,2.17,56,AI Navigation,Low,UK,210
France,2013,Balanced multimedia challenge,Unmanned,Lake Meghan,Spy,44.01,92,AI Navigation,Medium,France,353
UAE,2019,Front-line even-keeled help-desk,Unmanned,West Pamelaton,Weather,45.31,87,AI Navigation,High,"UK, Germany",260
Russia,2006,Optimized zero administration project,Unmanned,East Andrewtown,Navigation,16.57,71,AI Navigation,Low,"Russia, Germany, USA",76
UK,2025,Virtual homogeneous analyzer,Manned,New Rebecca,Weather,47.79,56,Reusable Rocket,High,"Germany, USA, China",295
Japan,2024,Programmable global ability,Unmanned,Williamsburgh,Spy,46.17,62,AI Navigation,Medium,"Japan, UK",322
India,2025,Open-source logistical hierarchy,Manned,West Susan,Weather,3.83,65,Solar Propulsion,High,"India, China, France",323
France,2009,Ergonomic systematic access,Unmanned,North Scottville,Weather,11.4,88,Traditional Rocket,Low,"Russia, Germany",215
Japan,2022,Face-to-face homogeneous circuit,Unmanned,North Brandon,Spy,16.89,56,Traditional Rocket,Medium,"UAE, Japan",326
India,2016,Advanced client-driven budgetary management,Unmanned,South Sherri,Research,0.79,82,Traditional Rocket,Low,"China, France, UK",191
UAE,2022,Implemented didactic middleware,Manned,Chavezstad,Spy,1.51,92,Solar Propulsion,Medium,Japan,353
India,2024,Down-sized systemic leverage,Unmanned,Lake Hannah,Communication,26.05,73,Nuclear Propulsion,Medium,"UK, China",307
Russia,2011,Open-source bi-directional benchmark,Manned,New Georgeport,Weather,3.08,64,Reusable Rocket,High,Germany,213
USA,2003,Business-focused grid-enabled success,Unmanned,West Richard,Research,19.78,88,Traditional Rocket,High,UK,143
Russia,2024,Programmable demand-driven knowledge user,Unmanned,South Makayla,Research,38.2,97,Reusable Rocket,Medium,"Germany, France, India",358
